PDB_ID,TITLE,RESOLUTION,R_FACTOR,R_FACTOR_W,HELIX,STRAND,n_SEQSTR,n_SEQRES,n_SEQAF,n_SEQDIFF,pLDDT_global,uniprot.id,csm.af.id,csm.rcsb.id
135L,X-RAY STRUCTURE OF MONOCLINIC TURKEY EGG LYSOZYME AT 1.3 ANGSTROMS RESOLUTION,1.3,0.189,0.189,41,11,129,129,147,18,98.28,P00703,AF-P00703-F1-model_v4,AF_AFP00703F1
1AAC,"AMICYANIN OXIDIZED, 1.31 ANGSTROMS",1.31,0.155,0.155,3,50,105,105,131,26,98,P22364,AF-P22364-F1-model_v4,AF_AFP22364F1
1AGI,CRYSTAL STRUCTURE OF BOVINE ANGIOGENIN AT 1.5 ANGSTROMS RESOLUTION,1.5,0.203,0.203,22,34,125,125,148,23,95.94,P10152,AF-P10152-F1-model_v4,AF_AFP10152F1
1AMM,1.2 ANGSTROM STRUCTURE OF GAMMA-B CRYSTALLIN AT 150K,1.2,NA,NA,9,48,174,174,175,1,96.87,P02526,AF-P02526-F1-model_v4,AF_AFP02526F1
1ARB,"THE PRIMARY STRUCTURE AND STRUCTURAL CHARACTERISTICS OF ACHROMOBACTER LYTICUS PROTEASE I, A LYSINE-SPECIFIC SERINE PROTEASE",1.2,0.149,NA,16,32,263,268,653,390,95.17,P15636,AF-P15636-F1-model_v4,AF_AFP15636F1
1AWD,FERREDOXIN [2FE-2S] OXIDIZED FORM FROM CHLORELLA FUSCA,1.4,0.1464,NA,20,31,94,94,94,0,97.96,P56408,AF-P56408-F1-model_v4,AF_AFP56408F1
1B0U,ATP-BINDING SUBUNIT OF THE HISTIDINE PERMEASE FROM SALMONELLA TYPHIMURIUM,1.5,0.185,0.185,41,25,258,262,258,0,96.2,P02915,AF-P02915-F1-model_v4,AF_AFP02915F1
1BGF,STAT-4 N-DOMAIN,1.45,0.188,0.188,79,2,124,124,749,625,87.39,P42228,AF-P42228-F1-model_v4,AF_AFP42228F1
1BPI,THE STRUCTURE OF BOVINE PANCREATIC TRYPSIN INHIBITOR AT 125K: DEFINITION OF CARBOXYL-TERMINAL RESIDUES GLYCINE-57 AND ALANINE-58,1.09,0.187,NA,21,26,58,58,100,42,97.38,P00974,AF-P00974-F1-model_v4,AF_AFP00974F1
1BQK,OXIDIZED PSEUDOAZURIN,1.35,0.176,0.178,17,35,124,124,152,28,98.4,P19567,AF-P19567-F1-model_v4,AF_AFP19567F1
1BS9,ACETYLXYLAN ESTERASE FROM P. PURPUROGENUM REFINED AT 1.10 ANGSTROMS,1.1,0.1279,NA,40,16,207,207,234,27,98.56,O59893,AF-O59893-F1-model_v4,AF_AFO59893F1
1BXO,ACID PROTEINASE (PENICILLOPEPSIN) (E.C.3.4.23.20) COMPLEX WITH PHOSPHONATE INHIBITOR: METHYL CYCLO[(2S)-2-[[(1R)-1-(N-(L-N-(3-METHYLBUTANOYL)VALYL-L-ASPARTYL)AMINO)-3-METHYLBUT YL] HYDROXYPHOSPHINYLOXY]-3-(3-AMINOMETHYL) PHENYLPROPANOATE,0.95,0.0991,NA,14,47,323,323,323,0,97.54,P00798,AF-P00798-F1-model_v4,AF_AFP00798F1
1BYI,STRUCTURE OF APO-DETHIOBIOTIN SYNTHASE AT 0.97 ANGSTROMS RESOLUTION,0.97,0.1158,NA,38,21,224,224,225,1,97.46,P13000,AF-P13000-F1-model_v4,AF_AFP13000F1
1C0K,CRYSTAL STRUCTURE ANALYSIS OF D-AMINO ACID OXIDASE IN COMPLEX WITH L-LACTATE,1.46,NA,NA,29,28,363,363,368,5,94.56,P80324,AF-P80324-F1-model_v4,AF_AFP80324F1
1C52,THERMUS THERMOPHILUS CYTOCHROME-C552: A NEW HIGHLY THERMOSTABLE CYTOCHROME-C STRUCTURE OBTAINED BY MAD PHASING,1.28,0.191,0.191,46,12,131,131,131,0,96.79,P04164,AF-P04164-F1-model_v4,AF_AFP04164F1
1C75,"0.97 A ""AB INITIO"" CRYSTAL STRUCTURE OF CYTOCHROME C-553 FROM BACILLUS PASTEURII",0.97,0.1162,NA,52,3,71,71,92,21,96.57,P82599,AF-P82599-F1-model_v4,AF_AFP82599F1
1C7K,CRYSTAL STRUCTURE OF THE ZINC PROTEASE,1,0.148,NA,37,23,132,132,132,0,98.16,P56406,AF-P56406-F1-model_v4,AF_AFP56406F1
1CC7,CRYSTAL STRUCTURE OF THE ATX1 METALLOCHAPERONE PROTEIN,1.2,0.1446,NA,26,36,72,73,73,1,97.98,P38636,AF-P38636-F1-model_v4,AF_AFP38636F1
1CIP,GI-ALPHA-1 SUBUNIT OF GUANINE NUCLEOTIDE-BINDING PROTEIN COMPLEXED WITH A GTP ANALOGUE,1.5,NA,0.213,52,16,316,353,354,38,96.01,P10824,AF-P10824-F1-model_v4,AF_AFP10824F1
1CTJ,CRYSTAL STRUCTURE OF CYTOCHROME C6,1.1,0.1377,NA,57,4,89,89,89,0,97.17,Q09099,AF-Q09099-F1-model_v4,AF_AFQ09099F1
1CTQ,STRUCTURE OF P21RAS IN COMPLEX WITH GPPNHP AT 100 K,1.26,0.172,0.172,39,27,166,166,189,23,96.35,P01112,AF-P01112-F1-model_v4,AF_AFP01112F1
1CY5,CRYSTAL STRUCTURE OF THE APAF-1 CARD,1.3,0.169,NA,77,0,93,97,1248,1155,83.72,O14727,AF-O14727-F1-model_v4,AF_AFO14727F1
1CYO,BOVINE CYTOCHROME B(5),1.5,0.16,0.16,33,23,88,93,134,46,88.94,P00171,AF-P00171-F1-model_v4,AF_AFP00171F1
1D2U,1.15 A CRYSTAL STRUCTURE OF NITROPHORIN 4 FROM RHODNIUS PROLIXUS,1.15,0.13,0.13,14,42,184,184,205,21,94.69,Q94734,AF-Q94734-F1-model_v4,AF_AFQ94734F1
1D4O,CRYSTAL STRUCTURE OF TRANSHYDROGENASE DOMAIN III AT 1.2 ANGSTROMS RESOLUTION,1.21,0.167,0.168,44,18,177,184,1086,909,94.61,P11024,AF-P11024-F1-model_v4,AF_AFP11024F1
1E0W,Xylanase 10A from Sreptomyces lividans. native structure at 1.2 angstrom resolution,1.2,NA,0.098,42,20,302,313,477,175,98.51,P26514,AF-P26514-F1-model_v4,AF_AFP26514F1
1E29,PSII associated cytochrome C549 from Synechocystis sp.,1.21,0.1486,NA,41,7,135,135,160,25,94.99,Q55013,AF-Q55013-F1-model_v4,AF_AFQ55013F1
1E87,Human CD69 - trigonal form,1.5,0.229,0.229,18,33,117,118,199,82,97.62,Q07108,AF-Q07108-F1-model_v4,AF_AFQ07108F1
1EAZ,"Crystal structure of the phosphoinositol (3,4)-bisphosphate binding PH domain of TAPP1 from human.",1.4,0.171,NA,23,38,104,125,404,300,92.11,Q9HB21,AF-Q9HB21-F1-model_v4,AF_AFQ9HB21F1
1EB6,Deuterolysin from Aspergillus oryzae,1,NA,0.104,53,10,177,177,352,175,94.76,P46076,AF-P46076-F1-model_v4,AF_AFP46076F1
1EP0,"HIGH RESOLUTION CRYSTAL STRUCTURE OF DTDP-6-DEOXY-D-XYLO-4-HEXULOSE 3,5-EPIMERASE FROM METHANOBACTERIUM THERMOAUTOTROPHICUM",1.5,0.183,0.183,9,43,183,185,185,2,97.08,O27818,AF-O27818-F1-model_v4,AF_AFO27818F1
1EQM,"CRYSTAL STRUCTURE OF BINARY COMPLEX OF 6-HYDROXYMETHYL-7,8-DIHYDROPTERIN PYROPHOSPHOKINASE WITH ADENOSINE-5'-DIPHOSPHATE",1.5,0.1905,0.1886,30,28,158,158,159,1,95.45,P26281,AF-P26281-F1-model_v4,AF_AFP26281F1
