PDB_ID	TITLE	LENGTH
8rxn	REFINEMENT OF RUBREDOXIN FROM DESULFOVIBRIO VULGARIS AT 1.0 ANGSTROMS WITH AND WITHOUT RESTRAINTS	52
1knt	THE 1.6 ANGSTROMS STRUCTURE OF THE KUNITZ-TYPE DOMAIN FROM THE ALPHA3 CHAIN OF THE HUMAN TYPE VI COLLAGEN	58
1pgb	TWO CRYSTAL STRUCTURES OF THE B1 IMMUNOGLOBULIN-BINDING DOMAIN OF STREPTOCCOCAL PROTEIN G AND COMPARISON WITH NMR	56
1rop	STRUCTURE OF THE COL*E1 ROP PROTEIN AT 1.7 ANGSTROMS RESOLUTION	63
7pti	STRUCTURAL EFFECTS INDUCED BY REMOVAL OF A DISULFIDE BRIDGE. THE X-RAY STRUCTURE OF THE C30A(SLASH)C51A MUTANT OF BASIC PANCREATIC TRYPSIN INHIBITOR AT 1.6 ANGSTROMS	58
1isu	THE THREE-DIMENSIONAL STRUCTURE OF THE HIGH-POTENTIAL IRON-SULFUR PROTEIN ISOLATED FROM THE PURPLE PHOTOTROPHIC BACTERIUM RHODOCYCLUS TENUIS DETERMINED AND REFINED AT 1.5 ANGSTROMS RESOLUTION	124
1ptx	CRYSTAL STRUCTURE OF TOXIN II FROM THE SCORPION ANDROCTONUS AUSTRALIS HECTOR REFINED AT 1.3 ANGSTROMS RESOLUTION	64
3il8	CRYSTAL STRUCTURE OF INTERLEUKIN 8: SYMBIOSIS OF NMR AND CRYSTALLOGRAPHY	72
1hoe	CRYSTAL STRUCTURE DETERMINATION, REFINEMENT AND THE MOLECULAR MODEL OF THE ALPHA-AMYLASE INHIBITOR HOE-467A	74
9rnt	RIBONUCLEASE T1 WITH FREE RECOGNITION AND CATALYTIC SITE: CRYSTAL STRUCTURE ANALYSIS AT 1.5 ANGSTROMS RESOLUTION	104
1aaj	CRYSTAL STRUCTURE ANALYSIS OF AMICYANIN AND APOAMICYANIN FROM PARACOCCUS DENITRIFICANS AT 2.0 ANGSTROMS AND 1.8 ANGSTROMS RESOLUTION	105
1cew	THE 2.0 ANGSTROMS X-RAY CRYSTAL STRUCTURE OF CHICKEN EGG WHITE CYSTATIN AND ITS POSSIBLE MODE OF INTERACTION WITH CYSTEINE PROTEINASES	108
1ccr	STRUCTURE OF RICE FERRICYTOCHROME C AT 2.0 ANGSTROMS RESOLUTION	112
2tgi	CRYSTAL STRUCTURE OF TRANSFORMING GROWTH FACTOR-BETA2: AN UNUSUAL FOLD FOR THE SUPERFAMILY	112
2hmz	THE STRUCTURES OF MET AND AZIDOMET HEMERYTHRIN AT 1.66 ANGSTROMS RESOLUTION	456
1srg	STRUCTURE-BASED DESIGN OF SYNTHETIC AZOBENZENE LIGANDS FOR STREPTAVIDIN	242
1etb	THE X-RAY CRYSTAL STRUCTURE REFINEMENTS OF NORMAL HUMAN TRANSTHYRETIN AND THE AMYLOIDOGENIC VAL 30-->MET VARIANT TO 1.7 ANGSTROMS RESOLUTION	254
1poa	INTERFACIAL CATALYSIS: THE MECHANISM OF PHOSPHOLIPASE A2	118
1pmy	REFINED CRYSTAL STRUCTURE OF PSEUDOAZURIN FROM METHYLOBACTERIUM EXTORQUENS AM1 AT 1.5 ANGSTROMS RESOLUTION	123
2ccy	STRUCTURE OF FERRICYTOCHROME C(PRIME) FROM RHODOSPIRILLUM MOLISCHIANUM AT 1.67 ANGSTROMS RESOLUTION	256
3chy	CRYSTAL STRUCTURE OF ESCHERICHIA COLI CHEY REFINED AT 1.7-ANGSTROM RESOLUTION	128
2aza	STRUCTURE OF AZURIN FROM ALCALIGENES DENITRIFICANS. REFINEMENT AT 1.8 ANGSTROMS RESOLUTION AND COMPARISON OF THE TWO CRYSTALLOGRAPHICALLY INDEPENDENT MOLECULES	258
2ihl	LYSOZYME (E.C.3.2.1.17) (JAPANESE QUAIL)	129
1lis	THE CRYSTAL STRUCTURE OF A FERTILIZATION PROTEIN	136
1mdc	CRYSTALLIZATION, STRUCTURE DETERMINATION AND LEAST-SQUARES REFINEMENT TO 1.75 ANGSTROMS RESOLUTION OF THE FATTY-ACID-BINDING PROTEIN ISOLATED FROM MANDUCA SEXTA L	132
1eca	STRUCTURE OF ERYTHROCRUORIN IN DIFFERENT LIGAND STATES REFINED AT 1.4 ANGSTROMS RESOLUTION	136
1kab	STRESS AND STRAIN IN STAPHYLOCOCCAL NUCLEASE	136
2end	CRYSTAL STRUCTURE OF A PYRIMIDINE DIMER SPECIFIC EXCISION REPAIR ENZYME FROM BACTERIOPHAGE T4: REFINEMENT AT 1.45 ANGSTROMS AND X-RAY ANALYSIS OF THE THREE ACTIVE SITE MUTANTS	138
3sdh	HIGH RESOLUTION CRYSTALLOGRAPHIC ANALYSIS OF A COOPERATIVE DIMERIC HEMOGLOBIN	292
2hbg	GLYCERA DIBRANCHIATA HEMOGLOBIN. STRUCTURE AND REFINEMENT AT 1.5 ANGSTROMS RESOLUTION	147
1cob	CRYSTAL STRUCTURE SOLUTION AND REFINEMENT OF THE SEMISYNTHETIC COBALT SUBSTITUTED BOVINE ERYTHROCYTE ENZYME SUPEROXIDE DISMUTASE AT 2.0 ANGSTROMS RESOLUTION	302
2mge	HIGH RESOLUTION CRYSTAL STRUCTURES OF FIVE DISTAL HISTIDINE MUTANTS OF SPERM WHALE MYOGLOBIN	154
2rn2	STRUCTURAL DETAILS OF RIBONUCLEASE H FROM ESCHERICHIA COLI AS REFINED TO AN ATOMIC RESOLUTION	155
1hfc	1.56 ANGSTROM STRUCTURE OF MATURE TRUNCATED HUMAN FIBROBLAST COLLAGENASE	169
1gpr	REFINED CRYSTAL STRUCTURE OF IIA DOMAIN OF THE GLUCOSE PERMEASE OF BACILLUS SUBTILIS AT 1.9 ANGSTROMS RESOLUTION	162
119l	THE ENERGETIC COST AND THE STRUCTURAL CONSEQUENCES OF BURYING A HYDROXYL GROUP WITHIN THE CORE OF A PROTEIN DETERMINED FROM ALA TO SER AND VAL TO THR SUBSTITUTIONS IN T4 LYSOZYME	164
2cpl	SIMILARITIES AND DIFFERENCES BETWEEN HUMAN CYCLOPHILIN A AND OTHER BETA-BARREL STRUCTURES. STRUCTURAL REFINEMENT AT 1.63 ANGSTROMS RESOLUTION	165
1huw	THE CRYSTAL STRUCTURE OF AFFINITY-MATURED HUMAN GROWTH HORMONE AT 2 ANGSTROMS RESOLUTION	191
5p21	REFINED CRYSTAL STRUCTURE OF THE TRIPHOSPHATE CONFORMATION OF H-RAS P21 AT 1.35 ANGSTROMS RESOLUTION: IMPLICATIONS FOR THE MECHANISM OF GTP HYDROLYSIS	166
1ofv	FLAVODOXIN FROM ANACYSTIS NIDULANS: REFINEMENT OF TWO FORMS OF THE OXIDIZED PROTEIN	169
1lki	THE CRYSTAL STRUCTURE AND BIOLOGICAL FUNCTION OF LEUKEMIA INHIBITORY FACTOR: IMPLICATIONS FOR RECEPTOR BINDING	180
1bbp	MOLECULAR STRUCTURE OF THE BILIN BINDING PROTEIN (BBP) FROM PIERIS BRASSICAE AFTER REFINEMENT AT 2.0 ANGSTROMS RESOLUTION.	692
1erb	THE INTERACTION OF N-ETHYL RETINAMIDE WITH PLASMA RETINOL-BINDING PROTEIN (RBP) AND THE CRYSTAL STRUCTURE OF THE RETINOID-RBP COMPLEX AT 1.9 ANGSTROMS RESOLUTION	183
2scp	STRUCTURE OF A SARCOPLASMIC CALCIUM-BINDING PROTEIN FROM NEREIS DIVERSICOLOR REFINED AT 2.0 ANGSTROMS RESOLUTION	348
4gcr	STRUCTURE OF THE BOVINE EYE LENS PROTEIN GAMMA-B (GAMMA-II)-CRYSTALLIN AT 1.47 ANGSTROMS	174
153l	THE REFINED STRUCTURES OF GOOSE LYSOZYME AND ITS COMPLEX WITH A BOUND TRISACCHARIDE SHOW THAT THE "GOOSE-TYPE LYSOZYMES LACK A CATALYTIC ASPARTATE	185
1rec	THREE-DIMENSIONAL STRUCTURE OF RECOVERIN, A CALCIUM SENSOR IN VISION	201
1xnb	HIGH-RESOLUTION STRUCTURES OF XYLANASES FROM B. CIRCULANS AND T. HARZIANUM IDENTIFY A NEW FOLDING PATTERN AND IMPLICATIONS FOR THE ATOMIC BASIS OF THE CATALYSIS	185
1gky	REFINED STRUCTURE OF THE COMPLEX BETWEEN GUANYLATE KINASE AND ITS SUBSTRATE GMP AT 2.0 ANGSTROMS RESOLUTION	187
1dsb	CRYSTAL STRUCTURE OF THE DSBA PROTEIN REQUIRED FOR DISULPHIDE BOND FORMATION IN VIVO	378
1iae	CRYSTAL STRUCTURES, SPECTROSCOPIC FEATURES, AND CATALYTIC PROPERTIES OF COBALT(II), COPPER(II), NICKEL(II), AND MERCURY(II) DERIVATIVES OF THE ZINC ENDOPEPTIDASE ASTACIN. A CORRELATION OF STRUCTURE AND PROTEOLYTIC ACTIVITY	200
1iag	FIRST STRUCTURE OF A SNAKE VENOM METALLOPROTEINASE: A PROTOTYPE FOR MATRIX METALLOPROTEINASES(SLASH)COLLAGENASES	202
1cfb	CRYSTAL STRUCTURE OF TANDEM TYPE III FIBRONECTIN DOMAINS FROM DROSOPHILA NEUROGLIAN AT 2.0 ANGSTROMS	205
